lon,lat,obs
-101.9691922,31.2059844,1
-101.9269126,32.0722749,2
-101.6559194,30.8738668,21
-101.5601204,33.1811653,2
-101.27834,42.58918,1
-101.2407759,29.9214837,19
-100.9324384,35.7036488,2
-100.9172129,31.1844187,18
-100.8301009,34.9337877,3
-100.807184,42.885798,1
-100.7371219,34.6030047,10
-100.6989509,33.3563297,11
-100.6472268,32.0702794,13
-100.6269467,32.8875543,4
-100.4213549,29.6237867,100
-100.2958909,31.3901587,2
-100.2140109,30.0156927,50
-100.1916929,34.4180504,19
-100.0117796,29.5379301,27
-99.998886100000007,42.5928366,3
-99.9762579,34.9870807,18
-99.9683619,40.3070527,3
-99.966803,40.17592,27
-99.8933569,34.5047657,17
-99.8852919,35.2628247,19
-99.7351069,35.4656557,11
-99.72838,27.7100642,44
-99.7137839,34.915100700000004,13
-99.7103499,30.3038597,66
-99.6617889,38.2040337,6
-99.6563415,33.3645608,4
-99.6464549,39.7266067,3
-99.618303,28.355252,46
-99.5786444,36.2392945,24
-99.5652708,31.2869724,26
-99.5393332,29.5611028,19
-99.5023032,40.9376453,1
-99.480072,42.52146,1
-99.4624293,42.021567,2
-99.4476549,30.9858627,57
-99.4248794,31.5930797,63
-99.3626644,36.9436159,16
-99.2729117,32.2195028,72
-99.2722929,37.1645227,4
-99.266437,27.9766671,40
-99.2540059,39.7702227,9
-99.2348417,38.3193226,8
-99.1899265,33.9054886,2
-99.184518,28.673182,53
-99.1642919,31.5020577,56
-99.1490406,30.3551169,50
-99.1420313,29.3597192,39
-99.1330879,32.8297577,25
-98.9776363,38.4636553,5
-98.9734152,33.8940928,15
-98.9698489,27.3221067,46
-98.9547729,34.8702507,23
-98.9119712,36.187590899999996,39
-98.8760679,40.6406757,15
-98.8298029,37.5142707,10
-98.8220264,27.0738442,27
-98.7819333,34.7527798,40
-98.7751403,38.6813229,1
-98.7508415,39.3447742,18
-98.7351553,30.9594551,41
-98.7032699,41.9425827,1
-98.6769859,42.6534207,11
-98.6673129,40.6184587,11
-98.6520979,31.6159727,104
-98.6494589,29.8739777,40
-98.6416779,29.0939087,43
-98.613168,40.016809,18
-98.6026759,26.9019917,42
-98.5988124,42.7695353,5
-98.5401769,34.1880867,4
-98.5225,34.73613,36
-98.5051649,27.2961057,13
-98.389974,32.9898499,91
-98.38854,28.6737143,23
-98.3699292,32.6265908,93
-98.3175579,28.2807187,73
-98.3157739,34.0984847,20
-98.1724883,31.4345362,47
-98.135998,26.8901748,35
-98.1198269,28.5116467,60
-98.0582098,30.2495701,70
-98.0495578,32.1649434,58
-98.0448208,31.1320902,86
-98.0363319,41.8865107,7
-98.0351929,38.5515107,50
-97.993562,31.283585,56
-97.9801349,29.2751357,73
-97.9666688,28.9215455,60
-97.9539527,42.6988061,11
-97.9466526,27.5323198,21
-97.921498,40.901504,17
-97.877868,26.161672,3
-97.8751124,43.284162,1
-97.8588019,34.3763967,55
-97.833989,42.049167,25
-97.8146904,32.2930094,128
-97.7494969,29.8219637,32
-97.7298261,32.6900934,119
-97.7044919,26.5333227,11
-97.695112,27.3477527,20
-97.6918713,35.7693995,17
-97.6123773,39.1902871,9
-97.5857079,30.6915827,44
-97.5577459,40.2199177,17
-97.557639,30.341063,10
-97.5540547,33.2866481,14
-97.4981958,32.3141319,25
-97.478191,35.551189,107
-97.4706489,27.6881977,4
-97.4634159,37.7959759,26
-97.460791,33.0581596,28
-97.4574519,34.4198537,79
-97.426047,41.829804,4
-97.4236139,35.1750957,57
-97.3687519,38.9147327,26
-97.3498079,41.1630727,23
-97.349158,37.3190352,87
-97.3490589,26.2449087,21
-97.2713009,33.5610847,42
-97.2582029,37.2322087,77
-97.2409279,31.3255877,58
-97.228214,30.070998,107
-97.2202749,28.781686,112
-97.2078887,38.2039494,28
-97.1945039,41.4820177,13
-97.160194,28.03785,24
-97.1583399,40.8872417,25
